,statefips,population_percentage,year,pop
0,01,0.014970436787955795,2020,4993329
1,02,0.002275529136923347,2020,758994
2,04,0.021689021640862737,2020,7234286
3,05,0.009320243112264008,2020,3108730
4,06,0.12230287192714974,2020,40793634
5,08,0.017756731587958065,2020,5922687
6,09,0.01043140565209895,2020,3479354
7,10,0.0029587464366834407,2020,986878
8,11,0.002152642869920702,2020,718005
9,12,0.06537436282980477,2020,21805357
10,13,0.03266061127514278,2020,10893816
11,15,0.004202026231372576,2020,1401569
12,16,0.005410322260465776,2020,1804591
13,17,0.037175487433334264,2020,12399735
14,18,0.02075180783610234,2020,6921682
15,19,0.009749782795695034,2020,3252001
16,20,0.008604620010060703,2020,2870037
17,21,0.013632225514201353,2020,4546974
18,22,0.014265135608531945,2020,4758079
19,23,0.004156089479100424,2020,1386247
20,24,0.01857404325233401,2020,6195298
21,25,0.02100358554729542,2020,7005662
22,26,0.03037665340713026,2020,10132011
23,27,0.01654041970468687,2020,5516991
24,28,0.009148016376014133,2020,3051284
25,29,0.018576168057901295,2020,6196007
26,30,0.0032461960416577495,2020,1082756
27,31,0.005987000533527601,2020,1996940
28,32,0.008878474887471824,2020,2961380
29,33,0.004217661846431668,2020,1406784
30,34,0.027189562541505247,2020,9068970
31,35,0.006343591915871422,2020,2115880
32,36,0.05959814099451796,2020,19878722
33,37,0.03210242183156689,2020,10707634
34,38,0.002275401581454853,2020,758951
35,39,0.03521457050272876,2020,11745679
36,40,0.012282084447419859,2020,4096640
37,41,0.012916723254020832,2020,4308321
38,42,0.03844229785523771,2020,12822275
39,44,0.003220473474419058,2020,1074176
40,45,0.015702544756100535,2020,5237521
41,46,0.0027314425918269552,2020,911062
42,47,0.020764828564057303,2020,6926026
43,48,0.08939463520698565,2020,29817223
44,49,0.00931424464852193,2020,3106729
45,50,0.001862068155968288,2020,621085
46,51,0.0261155924909049,2020,8710751
47,53,0.023052327774681965,2020,7689012
48,54,0.005463076516856651,2020,1822187
49,55,0.017831982600923876,2020,5947786
50,56,0.0017936682143497545,2020,598271
0,01,0.014970436787955795,2021,5028375
1,02,0.002275529136923347,2021,764321
2,04,0.021689021640862737,2021,7285060
3,05,0.009320243112264008,2021,3130548
4,06,0.12230287192714974,2021,41079945
5,08,0.017756731587958065,2021,5964255
6,09,0.01043140565209895,2021,3503774
7,10,0.0029587464366834407,2021,993804
8,11,0.002152642869920702,2021,723045
9,12,0.06537436282980477,2021,21958399
10,13,0.03266061127514278,2021,10970275
11,15,0.004202026231372576,2021,1411406
12,16,0.005410322260465776,2021,1817257
13,17,0.037175487433334264,2021,12486763
14,18,0.02075180783610234,2021,6970262
15,19,0.009749782795695034,2021,3274825
16,20,0.008604620010060703,2021,2890180
17,21,0.013632225514201353,2021,4578887
18,22,0.014265135608531945,2021,4791474
19,23,0.004156089479100424,2021,1395976
20,24,0.01857404325233401,2021,6238780
21,25,0.02100358554729542,2021,7054831
22,26,0.03037665340713026,2021,10203123
23,27,0.01654041970468687,2021,5555712
24,28,0.009148016376014133,2021,3072700
25,29,0.018576168057901295,2021,6239493
26,30,0.0032461960416577495,2021,1090355
27,31,0.005987000533527601,2021,2010956
28,32,0.008878474887471824,2021,2982164
29,33,0.004217661846431668,2021,1416658
30,34,0.027189562541505247,2021,9132621
31,35,0.006343591915871422,2021,2130730
32,36,0.05959814099451796,2021,20018241
33,37,0.03210242183156689,2021,10782786
34,38,0.002275401581454853,2021,764278
35,39,0.03521457050272876,2021,11828116
36,40,0.012282084447419859,2021,4125392
37,41,0.012916723254020832,2021,4338559
38,42,0.03844229785523771,2021,12912268
39,44,0.003220473474419058,2021,1081715
40,45,0.015702544756100535,2021,5274281
41,46,0.0027314425918269552,2021,917456
42,47,0.020764828564057303,2021,6974636
43,48,0.08939463520698565,2021,30026496
44,49,0.00931424464852193,2021,3128534
45,50,0.001862068155968288,2021,625444
46,51,0.0261155924909049,2021,8771888
47,53,0.023052327774681965,2021,7742977
48,54,0.005463076516856651,2021,1834976
49,55,0.017831982600923876,2021,5989531
50,56,0.0017936682143497545,2021,602470
0,01,0.014970436787955795,2022,5063301
1,02,0.002275529136923347,2022,769629
